method,display_method,bootstrap_unit,metric,point,ci_low,ci_high,n_units,one_sided_sign_flip_p_greater_than_zero
dual_aggU_headConsensusS_w0p75_constrained,Validation-selected consensus,target_spec,spillover_regret,0.3423892975681358,0.25804254706535074,0.4317821572224299,36,
dual_aggU_headConsensusS_w0p75_constrained,Validation-selected consensus,program,s_reduction_vs_target_only,0.11998602540207311,0.01024441988608804,0.22408304115428393,6,
dual_aggU_headConsensusS_w0p75_constrained,Validation-selected consensus,program,burden_delta,0.12443925688664116,0.08093464954031838,0.17278785589668486,6,
dual_aggU_headConsensusS_w0p75_constrained,Validation-selected consensus,program_ring,s_reduction_vs_target_only,0.11998602540207311,-0.0164589229922073,0.23999642134765423,18,
dual_aggU_headConsensusS_w0p75_constrained,Validation-selected consensus,program_ring,burden_delta,0.12443925688664119,0.047336982625226155,0.1997990948044591,18,
dual_aggU_nonlinearConsensusS_w0p75_constrained,Nonlinear consensus (sensitivity),target_spec,target_qualified_float,0.7222222222222222,0.5833333333333334,0.8611111111111112,36,
dual_aggU_nonlinearConsensusS_w0p75_constrained,Nonlinear consensus (sensitivity),target_spec,tqr_delta_vs_target_only,0.027777777777777776,-0.1388888888888889,0.19444444444444445,36,0.49547522623868806
dual_aggU_nonlinearConsensusS_w0p75_constrained,Nonlinear consensus (sensitivity),target_spec,s_reduction_vs_target_only,0.12651068369156382,0.006126619155976785,0.23616429822570403,36,0.020748962551872405
dual_aggU_nonlinearConsensusS_w0p75_constrained,Nonlinear consensus (sensitivity),target_spec,burden_delta,0.13498878313435447,0.06595393253697289,0.20373766283608136,36,0.00034998250087495624
dual_aggU_nonlinearConsensusS_w0p75_constrained,Nonlinear consensus (sensitivity),target_spec,spillover_regret,0.33183977132042247,0.25121250115334987,0.4177063902115656,36,
dual_aggU_nonlinearConsensusS_w0p75_constrained,Nonlinear consensus (sensitivity),program,s_reduction_vs_target_only,0.1265106836915638,0.020654732145058096,0.23236663523806944,6,
dual_aggU_nonlinearConsensusS_w0p75_constrained,Nonlinear consensus (sensitivity),program,burden_delta,0.13498878313435447,0.09212618238396116,0.1796447659532229,6,
dual_aggU_nonlinearConsensusS_w0p75_constrained,Nonlinear consensus (sensitivity),program_ring,s_reduction_vs_target_only,0.1265106836915638,-0.012850436597549256,0.2513930977812309,18,
dual_aggU_nonlinearConsensusS_w0p75_constrained,Nonlinear consensus (sensitivity),program_ring,burden_delta,0.13498878313435447,0.053596378676593295,0.214738439851337,18,
oracle_obs_u_obs_s,Observed U/S oracle,target_spec,target_qualified_float,1.0,1.0,1.0,36,
oracle_obs_u_obs_s,Observed U/S oracle,target_spec,tqr_delta_vs_target_only,0.3055555555555556,0.16666666666666666,0.4722222222222222,36,0.000599970001499925
oracle_obs_u_obs_s,Observed U/S oracle,target_spec,s_reduction_vs_target_only,0.6058083089301597,0.5426231051889364,0.6673179489364173,36,4.999750012499375e-05
oracle_obs_u_obs_s,Observed U/S oracle,target_spec,burden_delta,0.466828554454777,0.363706908447461,0.5731915070778791,36,4.999750012499375e-05
oracle_obs_u_obs_s,Observed U/S oracle,target_spec,spillover_regret,0.0,0.0,0.0,36,
oracle_obs_u_obs_s,Observed U/S oracle,program,s_reduction_vs_target_only,0.6058083089301597,0.5715449044816397,0.6553668419050653,6,
oracle_obs_u_obs_s,Observed U/S oracle,program,burden_delta,0.466828554454777,0.39643240637249416,0.5252924114465715,6,
oracle_obs_u_obs_s,Observed U/S oracle,program_ring,s_reduction_vs_target_only,0.6058083089301598,0.552586784934034,0.6614979709486738,18,
oracle_obs_u_obs_s,Observed U/S oracle,program_ring,burden_delta,0.466828554454777,0.36650287019502786,0.5700404504624503,18,
