fraction,n_train,n_val,n_test,context_neighbor,context_ring,no_prior_neighbor,no_prior_centered,no_prior_ring,no_prior_mae,reference_prior_neighbor,reference_prior_centered,reference_prior_ring,reference_prior_mae,reference_minus_no_prior_neighbor,reference_minus_no_prior_ring,reference_minus_no_prior_mae
0.1,135,837,928,0.17925294406008552,0.0965654209975401,0.22845167744937023,0.2489257792801038,0.14111196026890002,0.4940233528614044,0.22896188239968085,0.2489371243558804,0.1420294447079757,0.49378782510757446,0.0005102049503106221,0.0009174844390756887,-0.00023552775382995605
0.25,335,837,928,0.34550114172704244,0.1999743738811865,0.3781123536358671,0.400564972165228,0.2524712709980856,0.5048196315765381,0.37819978214518135,0.40058260388518446,0.2526902791860949,0.5046696662902832,8.742850931425794e-05,0.00021900818800929533,-0.0001499652862548828
0.5,670,837,928,0.4524506282586435,0.2744903355614668,0.4773487768220134,0.4999682811500536,0.33060501699485084,0.4924100339412689,0.4772818555147856,0.49905019857131255,0.33383068559145646,0.4929061830043793,-6.692130722779632e-05,0.003225668596605613,0.0004961490631103516
1.0,1342,837,928,0.5622128273464376,0.36262110503087575,0.2865500865016017,0.314422546771337,0.21238532232811225,0.5213074088096619,0.28686509208834204,0.3147003273274941,0.21285446905332686,0.5210269093513489,0.00031500558674035783,0.0004691467252146142,-0.0002804994583129883
