sample,task,method,perturbation,n_cells,n_genes,cell_pearson_mean,cell_pearson_median,gene_pearson_mean,gene_pearson_median,aggregate_gene_pearson,top_gene_aggregate_pearson,mae
GSM5808054,native_expression,CONCERT,all,418,2000,0.7899980511316212,0.7954446880229322,0.1335678302186979,0.1021289907014352,0.9927938864310056,0.9880470411727944,0.3229347765445709
GSM5808054,native_expression,CONCERT,Jak2,7,2000,0.8080217038607868,0.8283702766212124,-0.0107398907617446,-0.1003518102640371,0.8864702693414781,0.8437373493850586,0.2835924923419952
GSM5808054,native_expression,CONCERT,KP,76,2000,0.8251380977404068,0.8320446959825478,-0.0353249625254772,-0.0386898503448651,0.982592204937168,0.9752002710929726,0.2877876162528991
GSM5808054,native_expression,CONCERT,,274,2000,0.7767987857683407,0.7845384086233573,-0.0019931538655617,-0.0032744656599669,0.9935345802984415,0.9896295208578296,0.3370380401611328
GSM5808054,native_expression,CONCERT,Tgfbr2,23,2000,0.787379949542995,0.7848892871390113,-0.0103407227400315,-0.0109644351617721,0.886888874994711,0.842146075153261,0.2951622903347015
GSM5808054,native_expression,CONCERT,periphery,38,2000,0.8131561020449228,0.8158616544723754,0.0273334964310358,0.0207419206792139,0.9781707379640148,0.9699193484146528,0.3155948519706726
GSM5808054,native_expression,nearest_spatial_train,all,418,2000,0.6589706274415956,0.6556001620285158,0.0726445164732772,0.0462403647007723,0.9939784059301824,0.9928784283131274,0.3271677494049072
GSM5808054,native_expression,nearest_spatial_train,Jak2,7,2000,0.7631500395385303,0.7556439590416686,0.0401431429317571,0.0310081745535981,0.906298337304885,0.8883529181889602,0.2484687119722366
GSM5808054,native_expression,nearest_spatial_train,KP,76,2000,0.6963939598079354,0.7235445037506418,0.0581119934032586,0.0300186523962191,0.9717021170209652,0.964196548550002,0.2939526736736297
GSM5808054,native_expression,nearest_spatial_train,,274,2000,0.6528918584797303,0.6506668505035367,0.0562514356548765,0.0385895691151217,0.9945511992096024,0.9945561304916168,0.3342614769935608
GSM5808054,native_expression,nearest_spatial_train,Tgfbr2,23,2000,0.5420877157458337,0.5398483430030313,0.0152860700940388,-0.0368026532367034,0.7004797609674293,0.6434247747030729,0.3759895861148834
GSM5808054,native_expression,nearest_spatial_train,periphery,38,2000,0.6795090621793145,0.6801458311090329,0.0298402615674948,-0.0009230019850038,0.9629345313067088,0.9527648000570976,0.3273954093456268
GSM5808054,native_expression,guide_mean_train,all,418,2000,0.799121061608146,0.7981490410721779,0.1832319299330181,0.128742998686491,0.9927360524843986,0.989441777704652,0.3063544332981109
GSM5808054,native_expression,guide_mean_train,Jak2,7,2000,0.8857422275714233,0.8936114719062044,,,0.9711931202710152,0.9664807737626688,0.2096994221210479
GSM5808054,native_expression,guide_mean_train,KP,76,2000,0.8293141506468886,0.8429492556040538,,,0.9847047424523304,0.9774538436657794,0.2661734819412231
GSM5808054,native_expression,guide_mean_train,,274,2000,0.7818106392743693,0.7871143905967739,,,0.992043124646142,0.9881102308938156,0.3272324800491333
GSM5808054,native_expression,guide_mean_train,Tgfbr2,23,2000,0.8407066365397028,0.8468801829730798,,,0.944563470333955,0.9207797218676336,0.2256190776824951
GSM5808054,native_expression,guide_mean_train,periphery,38,2000,0.8224253923276705,0.8259958440118078,,,0.9836648715808416,0.9814332211691896,0.3028464615345001
GSM5808054,native_expression,global_mean_train,all,418,2000,0.7718787278483458,0.7826692281506586,,,0.9886292157489512,0.982401360005431,0.3322453200817108
GSM5808054,native_expression,global_mean_train,Jak2,7,2000,0.6588392253423585,0.6614996229891013,,,0.7214844475678789,0.6309424868218589,0.3866577446460724
GSM5808054,native_expression,global_mean_train,KP,76,2000,0.7705611374983155,0.7752703106114456,,,0.9146983921226512,0.8744215216936199,0.3349978625774383
GSM5808054,native_expression,global_mean_train,,274,2000,0.7786664660509887,0.7827028015982772,,,0.9879596860630055,0.9829032730350548,0.3293378949165344
GSM5808054,native_expression,global_mean_train,Tgfbr2,23,2000,0.6604531777276873,0.6546463982724634,,,0.7418362094552959,0.6757114086040465,0.3885221779346466
GSM5808054,native_expression,global_mean_train,periphery,38,2000,0.8138355902008549,0.8185642653890117,,,0.9733284955380506,0.9615162933704582,0.303618311882019
GSM5808054,guide_vs_KP_pseudo_delta,CONCERT,Jak2,7,2000,0.0745844971701766,0.0419188617112126,-0.0037049704591622,-0.0227922113300504,0.2592632978551634,0.2654637509619972,1.140587329864502
GSM5808054,guide_vs_KP_pseudo_delta,guide_mean_train,Jak2,7,2000,0.3571906337805558,0.4691856310521318,,,0.5147468988180034,0.5172957799512291,0.8477787971496582
GSM5808054,guide_vs_KP_pseudo_delta,zero_delta,Jak2,7,2000,,,,,,,0.8716754913330078
GSM5808054,guide_vs_KP_pseudo_delta,CONCERT,Tgfbr2,23,2000,0.0989834734653587,0.0938370830858702,-0.0234879019565459,-0.029079227953099,0.3467322230186317,0.3531067270069656,1.54236102104187
GSM5808054,guide_vs_KP_pseudo_delta,guide_mean_train,Tgfbr2,23,2000,0.4335132615897002,0.4348345466153349,,,0.5649589179668288,0.5875291014936234,1.1376051902770996
GSM5808054,guide_vs_KP_pseudo_delta,zero_delta,Tgfbr2,23,2000,,,,,,,1.0992218255996704
GSM5808055,native_expression,CONCERT,all,275,1999,0.8030923986462885,0.8195966273780784,0.1146823442962427,0.0894872388311891,0.9910758032148168,0.9868395289989924,0.3177664875984192
GSM5808055,native_expression,CONCERT,Ifngr2,21,1999,0.797797770630991,0.7965769786423386,-0.0651242373022091,-0.056786161162461,0.9169564347284852,0.8954470971799787,0.3163498938083648
GSM5808055,native_expression,CONCERT,KP,46,1999,0.8428406794894173,0.8440110051794305,0.0173631677769546,0.0170800743368389,0.9786693594280288,0.9691618626821894,0.2813165783882141
GSM5808055,native_expression,CONCERT,,163,1999,0.7845763773871476,0.8050537672581183,-0.0133883381227612,-0.0147887614046079,0.9897741934328322,0.9854766478648248,0.3312937319278717
GSM5808055,native_expression,CONCERT,Tgfbr2,14,1999,0.827338664432035,0.8328583937448237,0.0207228622451348,0.0411511251172688,0.9177139171049514,0.8953852683103436,0.2950778603553772
GSM5808055,native_expression,CONCERT,periphery,31,1999,0.8341062700584407,0.8355100249700333,0.0107038460812536,0.0094765745677923,0.9866711999804876,0.9832150664697092,0.3119323849678039
GSM5808055,native_expression,nearest_spatial_train,all,275,1999,0.687465342126686,0.6933174131959231,0.073294510369815,0.0417855440392441,0.9911769344718396,0.9906631952794152,0.3197927176952362
GSM5808055,native_expression,nearest_spatial_train,Ifngr2,21,1999,0.7396608810906607,0.7421808200903219,0.0828541995787017,0.0619565470384569,0.9272032110475986,0.9252533990098344,0.2823018729686737
GSM5808055,native_expression,nearest_spatial_train,KP,46,1999,0.7153395961647865,0.7400942246747074,0.0467517860636661,0.0116925847182294,0.9704101884788334,0.9647158717731004,0.2939435541629791
GSM5808055,native_expression,nearest_spatial_train,,163,1999,0.6763193478054682,0.6830473424520975,0.0536881339116933,0.0269681324081735,0.9820485023909876,0.9783598606793764,0.3250190019607544
GSM5808055,native_expression,nearest_spatial_train,Tgfbr2,14,1999,0.6594276800547008,0.650510260692261,-0.0349047519550023,-0.0980004669348464,0.8547604950003926,0.8671996941754674,0.3496636152267456
GSM5808055,native_expression,nearest_spatial_train,periphery,31,1999,0.682013804687012,0.7094727901914343,0.0172801594633245,-0.0165134541561401,0.9701291637467442,0.9712962314290166,0.3425761461257934
GSM5808055,native_expression,guide_mean_train,all,275,1999,0.8235117984968965,0.8285040665183692,0.1894345855640395,0.1384613091123697,0.9922529990985228,0.9897742725236324,0.3067669570446014
GSM5808055,native_expression,guide_mean_train,Ifngr2,21,1999,0.8480477705361522,0.8591970340141097,,,0.9662437788527164,0.963726065210016,0.2707612514495849
GSM5808055,native_expression,guide_mean_train,KP,46,1999,0.8501519215177786,0.8558283231249872,,,0.985200891593014,0.98125757526575,0.2723628580570221
GSM5808055,native_expression,guide_mean_train,,163,1999,0.8083562611289238,0.8198460780014287,,,0.990879084987882,0.9879261043853224,0.3234831690788269
GSM5808055,native_expression,guide_mean_train,Tgfbr2,14,1999,0.8553039620037264,0.8616452686527949,,,0.9461318765084286,0.9272960473216978,0.2675428390502929
GSM5808055,native_expression,guide_mean_train,periphery,31,1999,0.8326911930162122,0.8342618642567912,,,0.9814939592676944,0.9756732264480242,0.312028557062149
GSM5808055,native_expression,global_mean_train,all,275,1999,0.7914199691699798,0.8076133361707024,,,0.9859539280106482,0.9791389181303276,0.335319846868515
GSM5808055,native_expression,global_mean_train,Ifngr2,21,1999,0.694076319565994,0.6850755641628328,,,0.790426317232012,0.7764329541270787,0.3928673863410949
GSM5808055,native_expression,global_mean_train,KP,46,1999,0.7857064763146254,0.7926758385292486,,,0.9100434011269828,0.8740584435472009,0.3419218957424164
GSM5808055,native_expression,global_mean_train,,163,1999,0.8045853399038134,0.8135597281858038,,,0.9863914740369208,0.981587644044034,0.3269774913787842
GSM5808055,native_expression,global_mean_train,Tgfbr2,14,1999,0.711304681466908,0.7212659532829324,,,0.7862306035085543,0.7760598206325767,0.3818765878677368
GSM5808055,native_expression,global_mean_train,periphery,31,1999,0.8327972566299153,0.8305259639454585,,,0.9816517780948602,0.9761031146672016,0.3093783259391784
GSM5808055,guide_vs_KP_pseudo_delta,CONCERT,Tgfbr2,14,1999,0.3765661154752092,0.4409374774635294,-0.0159134036454308,-0.0089791151559157,0.5848966915187118,0.5915003034772673,1.2518028020858765
GSM5808055,guide_vs_KP_pseudo_delta,guide_mean_train,Tgfbr2,14,1999,0.7439548592951929,0.8406099614096598,,,0.8835098089556888,0.8851446167370215,1.080080509185791
GSM5808055,guide_vs_KP_pseudo_delta,zero_delta,Tgfbr2,14,1999,,,,,,,1.2843942642211914
GSM5808055,guide_vs_KP_pseudo_delta,CONCERT,Ifngr2,21,1999,0.3161172648734755,0.4007851952545754,-0.0417223796825845,-0.0445080601118348,0.2868340148076416,0.2908120704551853,1.3781079053878784
GSM5808055,guide_vs_KP_pseudo_delta,guide_mean_train,Ifngr2,21,1999,0.7677144259255713,0.7801842386615896,,,0.8083056708122305,0.8099648619518709,1.1988872289657593
GSM5808055,guide_vs_KP_pseudo_delta,zero_delta,Ifngr2,21,1999,,,,,,,1.4472483396530151
