fold,heldout_guides,n_graphs,context_neighbor,context_ring,zero_neighbor,zero_centered,zero_ring,external_neighbor,external_centered,external_ring,observed_neighbor,observed_centered,observed_ring,external_minus_zero_neighbor,external_minus_zero_ring,observed_minus_external_neighbor,observed_minus_external_ring
0,"sgrna_fasn,sgrna_stk39,sgrna_trem2",992,0.5876128999047296,0.4082314347503637,0.5963773583693173,0.6171592675751114,0.4374133208770854,0.5832029553578696,0.6128580589759621,0.3861336769637899,0.596390740038292,0.6159707484862812,0.45142198344869794,-0.013174403011447677,-0.05127964391329548,0.013187784680422365,0.06528830648490802
1,"sgrna_clu,sgrna_oligo2,sgrna_sh3gl2",973,0.5850349388943721,0.4133205255133842,0.5968175986937105,0.6153283488662172,0.46076840284807163,0.5959591469361734,0.6147037432886895,0.45762502926648796,0.5983190304201783,0.6151394946372764,0.47839862526679344,-0.000858451757537182,-0.003143373581583675,0.0023598834840049543,0.020773596000305483
2,"sgrna_flcn,sgrna_gfap,sgrna_rraga",486,0.6179568802565186,0.43373505257997463,0.6239215335096452,0.6461098532629697,0.4493021136849475,0.6209998608342939,0.6456640654914219,0.42819011126121653,0.6255800298568029,0.6457679009064536,0.46921040181554047,-0.002921672675351261,-0.021112002423730958,0.0045801690225090175,0.041020290554323935
3,"sgrna_ndufaf,sgrna_rbfox,sgrna_tbk1,sgrna_dpp5",372,0.631456383019,0.4535107700089841,0.6289801739471421,0.6549216305017058,0.4289094255544654,0.6237997972290787,0.6539297714345138,0.4006681107482251,0.6307455629200702,0.6538650956206534,0.46327811063614893,-0.005180376718063373,-0.02824131480624026,0.006945765690991479,0.06260999988792382
4,"sgrna_Cfap410,sgrna_C9orf72,sgrna_srf,sgrna_lrrk2",284,0.6320308424190582,0.44050234471807526,0.631496924063449,0.6575611848013942,0.42340317536229194,0.6267085043550207,0.6569773369287584,0.39240855718800033,0.6324346257590692,0.6570058989758344,0.44743795337018577,-0.00478841970842836,-0.03099461817429161,0.00572612140404849,0.05502939618218544
